Statistic,Year,County of Residence of Mother,UNIT,VALUE(Thousands)
Live Births,1980,All counties and regions,Number,74064
Live Births,1981,All counties and regions,Number,72158
Live Births,1982,All counties and regions,Number,70843
Live Births,1983,All counties and regions,Number,67117
Live Births,1984,All counties and regions,Number,64062
Live Births,1985,All counties and regions,Number,62388
Live Births,1986,All counties and regions,Number,61620
Live Births,1987,All counties and regions,Number,58433
Live Births,1988,All counties and regions,Number,54600
Live Births,1989,All counties and regions,Number,52018
Live Births,1990,All counties and regions,Number,53044
Live Births,1991,All counties and regions,Number,52718
Live Births,1992,All counties and regions,Number,51089
Live Births,1993,All counties and regions,Number,49304
Live Births,1994,All counties and regions,Number,48255
Live Births,1995,All counties and regions,Number,48787
Live Births,1996,All counties and regions,Number,50655
Live Births,1997,All counties and regions,Number,52775
Live Births,1998,All counties and regions,Number,53969
Live Births,1999,All counties and regions,Number,53924
Live Births,2000,All counties and regions,Number,54789
Live Births,2001,All counties and regions,Number,57854
Live Births,2002,All counties and regions,Number,60503
Live Births,2003,All counties and regions,Number,61529
Live Births,2004,All counties and regions,Number,61972
Live Births,2005,All counties and regions,Number,61372
Live Births,2006,All counties and regions,Number,65425
Live Births,2007,All counties and regions,Number,71389
Live Births,2008,All counties and regions,Number,75173
Live Births,2009,All counties and regions,Number,75554
Live Births,2010,All counties and regions,Number,75174
Live Births,2011,All counties and regions,Number,74033
Live Births,2012,All counties and regions,Number,71674
Live Births,2013,All counties and regions,Number,68930
Live Births,2014,All counties and regions,Number,67295
Live Births,2015,All counties and regions,Number,65536
Live Births,2016,All counties and regions,Number,63841
Live Births,2017,All counties and regions,Number,61818
Live Births,2018,All counties and regions,Number,60973
Live Births,2019,All counties and regions,Number,59294
